word,id,sense,polarity,subjectivity,confidence
aanwijsbaar,r_a-8860,aantoonbaar,0.4,0.7,0.7
aanzienlijk,r_a-8684,aanmerkelijk,0.4,0.9,0.9
aanzienlijk,r_a-9034,met veel aanzien,0.4,0.9,0.7
aardig,r_a-8687,leuk,0.6,0.9,1.0
aardig,r_a-8688,behoorlijk,0.4,0.7,1.0
aardig,r_a-9035,sympathiek,0.6,1.0,1.0
aardrijkskundig,r_a-8862,geografisch,0.0,0.0,0.7
aards,r_a-8689,aan de aarde gebonden,0.0,0.1,1.0
aartslui,r_a-8969,heel lui,-0.7,0.9,0.7
abnormaal,r_a-8867,afwijkend,-0.9,1.0,0.7
abominabel,r_a-8690,afschuwelijk,-0.7,0.9,0.7
abrupt,r_a-8868,plotseling,-0.2,0.6,1.0
absolutistisch,r_a-8970,als van een absolutist,-0.2,0.6,0.7
absoluut,r_a-8691,volstrekt,0.1,0.7,1.0
abstract,r_a-8692,niet concreet,0.2,0.5,0.7
abstract,r_a-9038,bepaalde kunstvorm,0.0,0.2,0.7
absurd,r_a-8693,onzinnig,-0.2,0.9,1.0
absurdistisch,r_a-8870,als in het absurdisme,0.1,0.9,0.7
acceptabel,r_a-8697,aanvaardbaar,0.1,0.7,0.7
accuraat,r_a-8698,nauwgezet,0.4,0.6,0.9
accuraat,r_a-9045,juist,0.1,0.4,0.9
achteloos,r_a-8699,nonchalant,-0.5,0.9,1.0
achteloos,r_a-9043,onbekommerd,-0.4,0.8,1.0
achterbaks,r_a-8700,geniepig,-0.3,0.9,0.7
achterdochtig,r_a-8701,wantrouwig,-0.5,1.0,0.7
achterhaald,r_a-8702,verouderd,-0.3,0.7,0.7
actueel,r_a-8707,nu relevant,0.1,0.4,1.0
actueel,r_a-9050,huidig,0.1,0.4,1.0
acuut,r_a-8708,dringend,-0.1,0.6,0.7
acuut,r_a-8709,plotseling en hevig,-0.1,0.7,0.7
additioneel,r_a-8878,toegevoegd,0.0,0.1,0.7
adembenemend,r_a-8711,erg spannend of mooi,1.0,1.0,1.0
ademloos,r_a-8712,met ingehouden adem,0.2,0.6,1.0
adequaat,r_a-8713,passend,0.5,0.7,0.7
administratiefrechtelijk,r_a-8880,bestuursrechtelijk,0.0,0.0,0.7
afbreekbaar,r_a-8975,mogelijk om af te breken,0.6,0.9,0.7
affectief,r_a-8881,verband houdend met het gevoel,0.1,0.4,0.7
afgedraaid,r_a-8718,zeer moe,-0.5,1.0,0.7
afgeladen,r_a-8719,helemaal vol mensen,-0.1,0.6,0.9
afgeleefd,r_a-8976,(sterk) verzwakt door ouderdom,-0.1,0.3,0.7
afgepast,r_a-8978,juist afgemeten,0.4,0.7,0.7
afgetrapt,r_a-8980,versleten,-0.4,0.5,0.7
afgezaagd,r_a-8723,overbekend en saai,-0.5,0.8,0.7
afgrijselijk,r_a-8724,afschuwelijk,-0.9,1.0,1.0
afgunstig,r_a-8726,jaloers,-0.6,1.0,0.9
afhankelijk,r_a-8728,afhangend van iets anders,-0.1,0.8,0.7
afhankelijk,r_a-8729,niet zelfstandig,-0.1,0.8,0.7
afkerig,r_a-8730,een afkeer hebbend,-0.1,0.8,0.7
afknapper,r_n-2890,,-0.6,0.7,0.9
afkomstig,r_a-8731,komend uit,0.0,0.0,1.0
afkomstig,r_a-9063,komend van,0.0,0.1,1.0
afschaffen,r_v-689,,-0.1,0.1,0.8
afschepen,r_v-697,,-0.1,0.1,0.8
afschrikwekkend,r_a-8889,afkeer inboezemend,-0.3,0.8,0.7
afschuwelijk,c_545491,heel lelijk of heel vervelend,-1.0,1.0,1.0
afschuwwekkend,r_a-8985,afschuw verwekkend,-0.8,1.0,0.7
afstandelijk,r_a-8734,koel,-0.5,0.9,1.0
afstotelijk,r_a-8987,afkeer inboezemend,-0.6,0.9,0.7
aftands,r_a-8890,versleten,-0.3,0.5,0.7
afzienbaar,r_a-8740,te overzien,0.1,0.4,0.7
afzonderlijk,r_a-8741,apart,0.0,0.1,1.0
agressief,r_a-8743,met geweld,-0.6,0.9,1.0
agressief,r_a-8744,bijtend (van stoffen),-0.4,0.6,1.0
akelig,r_a-8745,naar,-0.6,1.0,1.0
akelig,r_a-8746,een beetje ziek,-0.3,0.8,1.0
alfabetisch,r_a-8750,op alfabet,-0.1,0.3,0.7
algebraïsch,r_a-8989,van de algebra,0.0,0.0,0.7
algeheel,r_a-8752,totaal,0.1,0.4,0.7
algemeen,r_a-8753,voor of van iedereen,0.0,0.1,1.0
algemeen,r_a-8754,niet speciaal,-0.3,0.6,1.0
algemeen,r_a-9074,vaag,-0.4,0.8,1.0
alledaags,r_a-8755,van elke dag,-0.5,0.6,1.0
allegorisch,r_a-8898,als een allegorie,0.1,0.3,0.7
alleraardigst,r_a-8992,heel leuk,0.4,0.7,0.7
allerbelangrijkst,r_a-8899,erg belangrijk,0.4,0.8,0.7
allerbest,r_a-8900,heel erg goed,1.0,1.0,1.0
allereerst,r_a-8901,aan al het andere voorafgaand,0.0,0.1,1.0
allerergst,r_a-8902,erger dan erg,-0.3,0.9,0.7
allerhoogst,r_a-8905,het hoogst,0.1,0.5,0.7
allerlaatst,r_a-8993,het laatst van alles,0.0,0.1,1.0
allerlei,d_a-9974,,0.0,0.1,1.0
allerleukst,,,0.9,1.0,1.0
allerminst,r_a-8909,geringst,-0.2,0.6,1.0
allermooist,r_a-8910,het mooist,1.0,1.0,1.0
allesoverheersend,r_a-8915,zeer sterk overheersend,0.0,0.5,0.7
alomvattend,r_a-8918,alles omvattend,0.3,0.7,0.7
aloud,r_a-8919,van jaren her,0.2,0.6,0.7
altruïstisch,r_a-8761,onbaatzuchtig,0.7,1.0,0.7
amateuristisch,r_a-8762,niet professioneel,-0.4,0.8,1.0
amateuristisch,r_a-9079,klungelig,-0.6,1.0,1.0
ambitieus,r_a-8765,eerzuchtig,0.9,1.0,0.7
amicaal,r_a-8770,vriendschappelijk,0.3,0.8,0.7
amoureus,r_a-8771,verband houdend met liefde,0.3,0.7,0.7
amusant,r_a-8773,vermakelijk,0.6,0.9,1.0
anaal,r_a-8774,van of via de anus,-0.8,0.9,0.7
anachronistisch,r_a-8998,misplaatst in de tijd,0.4,0.7,0.7
analoog,r_a-9082,niet digitaal,0.0,0.0,0.7
anarchistisch,r_a-8923,het anarchisme betreffend,0.0,0.4,0.7
anatomisch,r_a-8924,ontleedkundig,0.0,0.0,0.7
ander,r_a-8777,niet dezelfde,0.0,0.1,1.0
ander,r_a-9084,verschillend,0.0,0.1,1.0
anderhalf,r_a-8925,een en een half,0.0,0.0,1.0
anders,r_a-8778,afwijkend,0.0,0.8,1.0
anekdotisch,r_a-8928,als (in) een anekdote,-0.1,0.7,0.7
anglicaans,r_a-8780,gerelateerd aan de anglicaanse kerk,0.0,0.1,0.7
angstaanjagend,r_a-8930,erg eng,-0.9,1.0,1.0
angstig,r_a-8781,bang,-0.6,0.9,1.0
angstig,r_a-9087,gerelateerd aan angst,-0.2,0.5,1.0
angstwekkend,r_a-8931,angst verwekkend,-0.6,1.0,0.7
anticommunistisch,r_a-9006,tegen het communisme,-0.3,1.0,0.7
antifascistisch,r_a-8934,tegen het fascisme,0.3,1.0,0.7
antiquarisch,r_a-8937,verband houdend met antiek,0.0,0.0,0.7
antiracistisch,r_a-9009,tegen racisme,0.6,0.8,0.7
antisemitisch,r_a-8786,anti-joods,-0.4,0.8,0.7
antropologisch,r_a-9011,gerelateerd aan de antropologie,0.0,0.1,0.7
apart,d_a-12188,,0.2,0.9,0.7
apart,r_a-8788,afzonderlijk,0.1,0.4,1.0
apart,r_a-8789,bijzonder,0.4,0.8,1.0
apathisch,r_a-8790,lusteloos,-0.9,1.0,0.7
apert,r_a-8791,duidelijk,0.3,0.7,0.7
apetrots,r_a-8941,erg trots,0.8,1.0,0.7
apocalyptisch,r_a-9013,catastrofaal,-0.5,0.9,0.7
apodictisch,r_a-8942,erg stellig,0.0,0.1,0.7
apostolisch,r_a-9014,van de apostelen,0.0,0.1,0.7
apostolisch,r_a-9102,van de paus,0.0,0.1,0.7
arbeidsintensief,r_a-8794,veel arbeid vergend,-0.2,0.7,0.7
arbeidsongeschikt,r_a-8795,niet in staat om te werken,-0.5,0.6,0.7
arbeidzaam,r_a-8796,vlijtig,0.1,0.3,0.7
arbitrair,r_a-8797,willekeurig,-0.4,0.9,0.7
archaïsch,r_a-8944,behorend tot een oud tijdperk,-0.4,0.8,0.7
archeologisch,r_a-8945,oudheidkundig,0.0,0.0,1.0
architectonisch,r_a-8798,bouwkundig,0.1,0.4,0.7
argeloos,r_a-8800,nietsvermoedend,-0.2,0.7,0.7
arglistig,r_a-8801,boosaardig,-0.7,0.9,0.7
argwanend,r_a-8802,achterdochtig,-0.4,0.9,0.7
arm,r_a-8804,niet rijk,-0.4,0.6,1.0
arm,r_a-8805,zielig,-0.6,1.0,1.0
arm,r_a-9106,iets niet hebbend,-0.4,0.6,1.0
armetierig,r_a-8807,"te klein, te weinig, onvoldoende",-0.6,0.8,0.7
armetierig,r_a-9108,armoedig,-0.4,1.0,0.7
armoedig,r_a-8809,van armoede blijk gevend,-0.5,1.0,0.7
armoedig,r_a-9111,niet veel voorstellend,-0.7,1.0,0.7
armzalig,r_a-8810,erg pover,-0.7,1.0,0.7
arrogant,r_a-8811,hooghartig,-0.9,1.0,1.0
artistiek,r_a-8813,kunstzinnig,0.1,0.5,0.7
asblond,r_a-9019,licht blond,0.0,0.1,0.7
ascetisch,r_a-8814,als een asceet,0.2,0.7,0.7
asgrauw,r_a-8815,erg grijs,-0.1,0.2,0.7
asociaal,r_a-8816,niet sociaal,-0.6,0.9,0.7
associatief,r_a-8818,op associatie berustend,0.2,0.5,0.7
astmatisch,r_a-8819,lijdend aan astma,-0.7,0.9,0.7
astmatisch,r_a-9113,zoals astma,-0.7,0.9,0.7
astraal,r_a-9114,niet materieel,-0.1,0.6,0.7
astronomisch,r_a-8820,sterrenkundig,0.3,0.5,0.7
astronomisch,r_a-8821,gigantisch,0.4,0.8,0.8
atheïstisch,r_a-8823,het atheïsme betreffend,0.0,0.3,0.7
atonaal,r_a-9024,niet tonaal,0.1,0.5,0.7
atoomvrij,r_a-9025,zonder kerncentrales en kernwapens,0.4,0.6,0.7
attent,r_a-8826,oplettend,0.2,0.7,0.7
attractief,r_a-8828,aantrekkelijk,0.8,1.0,0.9
autarkisch,r_a-8832,zelfvoorzienend,0.0,0.2,0.7
auteursrechtelijk,r_a-8950,het auteursrecht betreffend,0.1,0.5,0.7
authentiek,r_a-8833,geen namaak,0.5,0.5,1.0
authentiek,r_a-9119,oorspronkelijk,0.2,0.4,1.0
authentiek,r_a-9120,origineel,0.4,0.4,1.0
autistisch,r_a-8834,lijdend aan autisme,-0.2,0.2,1.0
autobiografisch,r_a-8951,het leven van de schrijver betreffend,0.0,0.0,1.0
autoloos,r_a-8953,zonder auto's,0.0,0.1,0.7
automatisch,r_a-8836,zelfwerkend,0.0,0.1,1.0
automatisch,r_a-9123,"vanzelf, zonder erbij na te denken",0.1,0.4,1.0
avant-gardistisch,r_a-8956,als in de avant-garde,0.0,0.3,0.7
averechts,r_a-8840,tegenovergesteld,-0.4,0.5,0.7
avontuurlijk,r_a-8841,vol avonturen,0.6,0.9,1.0
avontuurlijk,r_a-8842,belust op avontuur,0.5,0.9,1.0
baanbrekend,r_a-9127,revolutionair,0.5,0.8,0.7
baarlijk,r_a-9129,klinkklaar,0.3,0.6,0.7
babbelziek,r_a-9515,ziekelijke neiging tot kletsen,-0.8,1.0,0.7
badinerend,r_a-9131,gekscherend,-0.3,0.8,0.7
baldadig,r_a-9132,brooddronken,-0.4,0.6,0.7
balorig,r_a-9133,weerspannig,-0.4,0.7,0.7
banaal,r_a-9134,plat,-0.5,0.9,1.0
bancair,r_a-9417,van een bank,-0.1,0.1,0.7
bang,r_a-9136,angstig,-0.5,1.0,1.0
bang,r_a-9589,bangelijk,-0.3,1.0,1.0
bang,r_a-9590,iets negatiefs verwachtend,-0.5,1.0,1.0
bang,r_a-9591,beangstigend,-0.5,1.0,1.0
bangelijk,r_a-9137,gauw bang,-0.4,0.8,0.7
bangig,r_a-9519,nogal bang,-0.3,0.9,0.7
bar,r_a-9139,erg (m.n. van koude),-0.5,0.8,1.0
bar,r_a-9592,kaal,-0.3,0.7,1.0
barbaars,r_a-17341,onbeschaafd,-0.9,0.9,0.9
barbaars,r_a-9140,wreed,-0.9,1.0,1.0
barok,r_a-9142,grillig als in de barok,-0.2,0.2,0.7
bars,r_a-9143,nors,-0.8,1.0,0.7
barstensvol,r_a-9419,propvol,-0.1,0.6,0.9
basaal,d_a-21946,,0.1,0.4,0.7
bazig,r_a-9146,bedillerig,-0.8,1.0,0.7
bedaagd,r_a-9147,van rijpe leeftijd,0.0,0.0,0.7
bedaard,r_a-9148,rustig,0.1,0.8,0.7
bedachtzaam,r_a-9150,met aandacht en verstand,0.6,0.7,0.7
bedenkelijk,r_a-9153,zorgelijk,-0.4,0.8,0.7
bedlegerig,r_a-9156,door ziekte in bed,-0.7,0.9,0.7
bedompt,r_a-9157,benauwd,0.1,0.6,0.7
bedroefd,r_a-9163,verdrietig,-0.5,0.9,0.7
beduidend,r_a-9167,aanzienlijk,0.1,0.4,1.0
beeldend,r_a-9170,in beelden,0.0,0.2,1.0
beeldrijk,r_a-9527,rijk aan beeldspraak,0.2,0.6,0.7
beeldschoon,r_a-9172,heel mooi,1.0,1.0,1.0
beestachtig,r_a-9173,gruwelijk,-1.0,1.0,0.9
befaamd,r_a-9174,vermaard,0.5,0.9,1.0
begaafd,r_a-9175,met veel aanleg,0.7,0.9,1.0
begaanbaar,r_a-9177,bewandelbaar,0.3,0.6,0.7
begeerlijk,r_a-9179,door iedereen begeerd,0.6,1.0,0.7
begeesterd,d_a-23972,,0.6,0.9,0.7
begenadigd,r_a-9180,getalenteerd,0.7,0.9,0.7
beginselvast,r_a-9529,principieel,0.0,0.4,0.7
begrijpbaar,,,0.4,0.6,1.0
begrijpelijk,r_a-9183,verklaarbaar,0.4,0.7,1.0
behaaglijk,r_a-9185,aangenaam,0.4,0.9,0.7
beheersbaar,r_a-9425,onder controle te houden,0.0,0.6,0.7
behendig,r_a-9190,handig,0.6,0.8,0.7
behoeftig,r_a-9193,arm,-0.6,0.9,0.7
behoorlijk,r_a-9194,fatsoenlijk,0.3,0.8,1.0
behoorlijk,r_a-9605,flink,0.4,0.9,1.0
bejaard,r_a-9200,op leeftijd,-0.1,0.3,0.7
bekakt,r_a-9666,geaffecteerd,-0.8,1.0,0.7
bekeken,r_a-9606,afgehandeld,0.8,0.9,0.7
bekend,r_a-9667,gekend,0.3,0.7,1.0
bekend,r_a-9668,beroemd,0.4,0.9,1.0
beklagenswaardig,r_a-9427,te beklagen,-0.7,1.0,0.7
beklemmend,r_a-9671,benauwend,-0.5,0.9,1.0
beklonken,r_a-9672,geregeld,0.1,0.9,0.7
bekneld,r_a-9673,in de knel,-0.1,0.4,0.7
beknopt,r_a-9674,bondig,0.1,0.5,1.0
bekocht,r_a-9675,afgezet,-0.5,0.8,0.7
bekrompen,r_a-9677,krap,-0.6,1.0,0.7
bekrompen,r_a-9678,kortzichtig,-0.6,1.0,0.7
bekwaam,r_a-9679,kundig,0.4,0.7,0.7
belabberd,r_a-9680,ellendig,-0.6,1.0,1.0
belachelijk,r_a-9681,ridicuul,-1.0,1.0,1.0
belangeloos,r_a-9683,onbaatzuchtig,0.8,0.9,0.7
belanghebbend,r_a-9429,geïnteresseerd,0.0,0.6,0.7
belangrijk,d_a-25118,gewichtig,0.3,0.9,1.0
belangrijk,r_a-9684,van groot belang,0.4,0.8,1.0
belangwekkend,r_a-9687,interessant,0.7,0.9,1.0
belastend,r_a-9532,ten nadele,-0.4,0.5,0.7
belazerd,r_a-9434,bedonderd,-0.8,1.0,0.7
belazerd,r_a-9610,beroerd,-0.7,0.9,0.8
beleefd,r_a-9689,met goede manieren,0.5,0.9,1.0
belerend,r_a-9436,schoolmeesterachtig,-0.5,0.8,1.0
belezen,r_a-9692,veel gelezen hebbend,0.0,0.4,0.7
beloftevol,r_a-9437,vol belofte,0.6,0.9,0.7
belust,r_a-9201,met veel zin,0.1,0.2,0.7
bemiddeld,r_a-9202,met veel geld,0.4,0.6,0.9
bemoeiziek,r_a-9533,met  neiging tot bemoeien,-0.7,0.9,0.7
bemost,r_a-16571,met mos begroeid,-0.1,0.4,0.7
benard,r_a-9204,netelig,-0.5,1.0,1.0
benauwd,r_a-9205,met weinig frisse lucht,-0.6,0.8,1.0
benauwd,r_a-9206,in ademnood,-0.5,0.7,1.0
benauwd,r_a-9207,bang,-0.4,0.9,1.0
benieuwd,r_a-9209,nieuwsgierig,0.4,0.9,1.0
benig,r_a-9210,knokig,-0.2,0.4,0.7
benodigd,r_a-9211,nodig,0.5,0.6,0.7
bepaald,r_a-9212,zeker,0.2,0.4,1.0
bepaald,r_a-9617,beslist,0.2,0.5,1.0
beperkt,r_a-9213,niet volledig,-0.4,0.7,1.0
bereid,r_a-9216,genegen,0.2,0.6,1.0
bereid,r_a-9619,klaar,0.3,0.3,1.0
bereikbaar,r_a-9218,te bereiken,0.4,0.6,0.7
berekend,r_a-9220,geschikt,0.2,0.8,0.7
berijdbaar,r_a-9539,voor rijden geschikt,0.3,0.5,0.7
beroemd,r_a-9222,vermaard,0.5,0.9,1.0
beroerd,r_a-9223,slecht,-0.7,0.9,1.0
beroerd,r_a-9700,lui,-0.6,0.9,1.0
berooid,r_a-9225,arm,-0.6,1.0,0.7
berouwvol,r_a-9540,vol berouw,-0.5,1.0,0.7
berucht,r_a-9226,ve zin,-0.1,0.8,0.7
beschaafd,r_a-9227,keurig,0.4,0.9,1.0
beschaafd,r_a-9228,niet primitief,0.1,0.3,1.0
beschamend,r_a-9230,om je over te schamen,-0.5,0.6,0.7
bescheiden,r_a-9231,niet aanmatigend,-0.5,0.8,0.7
bescheiden,r_a-9232,klein,-0.3,0.6,0.7
bescheten,r_a-9622,slecht,-0.4,0.8,0.7
bescheten,r_a-9623,schijterig,-0.4,0.8,0.7
beschikbaar,r_a-9233,waarover men kan beschikken,0.4,0.4,1.0
beschonken,r_a-9235,dronken,-0.5,0.9,0.7
beslist,r_a-9239,resoluut,0.1,0.7,1.0
beslist,r_a-9240,pertinent,0.1,0.6,1.0
besmet,r_a-9449,aangestoken,-0.2,0.4,0.7
besmettelijk,r_a-9244,infectueus,-0.4,0.7,0.7
besmettelijk,r_a-9245,gauw vuil,-0.6,0.6,0.7
besmuikt,r_a-9450,stiekem,-0.2,0.9,0.7
besodemieterd,d_a-27456,,-0.7,1.0,0.7
bespottelijk,r_a-9246,belachelijk,-1.0,1.0,0.9
best,r_a-9247,(superlatief van 'goed'),0.9,1.0,1.0
best,r_a-9248,prima,0.6,1.0,1.0
best,r_a-9625,aardig,0.6,0.9,1.0
best,r_a-9631,goed,0.6,1.0,1.0
bestuurlijk,r_a-9454,administratief,0.0,0.0,0.7
bestuursrechtelijk,r_a-9456,mbt. bestuursrecht,0.0,0.0,0.7
betaalbaar,r_a-9251,niet te duur,0.4,0.7,0.7
betekenisloos,r_a-9457,zonder betekenis,-0.1,0.6,0.7
betekenisvol,r_a-9458,veelbetekenend,0.4,0.6,0.7
beteuterd,r_a-9254,onthutst,-0.5,0.9,0.7
betonnen,r_a-9459,van beton,0.0,0.7,0.7
betraand,r_a-9548,vol tranen,-0.3,0.5,0.7
betrekkelijk,r_a-9257,relatief,0.0,0.5,1.0
betrokken,r_a-9259,over wie het gaat,0.0,0.4,0.7
betrouwbaar,r_a-9260,te vertrouwen,0.8,0.9,0.7
betwistbaar,r_a-9549,aanvechtbaar,-0.3,0.5,0.7
beurs,r_a-9262,overrijp,-0.4,0.8,0.7
bevallig,r_a-9263,gracieus,0.6,0.9,0.7
bevindelijk,r_a-9463,vanuit godsdienstige beleving,0.1,0.5,0.7
bevredigend,d_a-401528,,0.5,0.9,1.0
bevreesd,r_a-9267,bang,-0.4,0.8,0.7
beweegbaar,r_a-9466,te bewegen,0.0,0.2,0.7
beweeglijk,r_a-9634,flexibel,0.0,0.0,0.7
bewolkt,r_a-9273,met wolken bedekt,-0.1,0.1,0.7
bewonderenswaardig,r_a-9469,respectabel,0.7,0.9,1.0
bewust,r_a-9274,weloverwogen,0.4,0.7,1.0
bewust,r_a-9275,beseffend,0.1,0.5,1.0
bewust,r_a-9276,desbetreffend,0.0,0.1,1.0
bezeten,r_a-9281,krankzinnig,-0.6,1.0,1.0
bezeten,r_a-9639,zeer vol zijn van,0.2,0.9,1.0
bezienswaardig,r_a-9470,het bekijken waard,0.8,1.0,0.7
bezig,r_a-9283,in de weer,0.1,0.3,1.0
bezorgd,r_a-9288,vol zorg,-0.1,0.8,1.0
bezweet,r_a-9292,met zweet,-0.2,0.8,0.7
bijbehorend,r_a-9293,bijpassend,0.2,0.4,1.0
bijbels,r_a-9294,mbt. de bijbel,0.0,0.1,1.0
bijbelvast,r_a-9295,goed thuis in de bijbel,0.0,0.3,0.7
bijgelovig,r_a-9298,vol bijgeloof,-0.5,0.8,0.7
bijgenaamd,r_a-9472,met de bijnaam,-0.1,0.1,0.7
bijster,r_a-9301,kwijt,-0.4,0.7,1.0
bijtend,r_a-9474,scherp,-0.4,0.4,0.7
bijvoeglijk,r_a-9302,attributief,0.1,0.1,1.0
bijzonder,r_a-9304,opmerkelijk,0.6,0.9,1.0
bijzonder,r_a-9305,speciaal,0.6,1.0,1.0
bikkelhard,r_a-9306,keihard,-0.1,1.0,0.7
bilateraal,r_a-9307,tweezijdig,0.0,0.1,0.7
billijk,r_a-9308,redelijk,0.3,0.9,1.0
binnenlands,r_a-9310,niet buitenlands,0.0,0.0,0.7
biografisch,r_a-9477,de levensloop betreffend,0.0,0.0,1.0
biologisch,r_a-9312,natuurlijk,0.1,0.6,0.7
bitter,r_a-9316,met de smaak als van witlof,-0.1,0.5,1.0
bitter,r_a-9317,onaangenaam,-0.6,0.9,1.0
bitter,r_a-9318,verbitterd,-0.8,1.0,1.0
bitterzoet,r_a-9564,bitter en zoet,0.1,0.8,0.7
bizar,r_a-9319,heel vreemd,-0.1,1.0,1.0
blabla,r_n-7479,,-0.3,0.7,0.8
bladstil,r_a-9320,zeer windstil,0.0,0.1,0.7
blanco,r_a-9321,oningevuld,0.0,0.0,1.0
blank,r_a-9323,met een witte huidskleur,0.0,0.0,0.7
blasfemisch,r_a-9481,spottend,-0.8,1.0,0.7
blauw,r_a-9324,met de kleur blauw,0.0,0.1,1.0
blij,r_a-9331,verheugd,0.5,0.9,1.0
blij,r_a-9650,verheugend,0.6,1.0,1.0
blijkbaar,,,0.0,0.6,1.0
blijmoedig,r_a-9332,opgewekt,0.5,0.8,0.7
bliksems,r_a-9334,donders,-0.3,0.8,0.7
bliksemsnel,r_a-9485,zeer snel,0.1,0.9,0.7
blind,r_a-9335,onvoorwaardelijk,0.0,0.7,1.0
blind,r_a-9336,niet te zien,-0.2,0.2,1.0
blits,r_a-9338,opvallend modern,0.1,0.3,0.7
bloeddoorlopen,r_a-9567,(van ogen) rood,-0.2,0.6,0.7
bloederig,r_a-9342,met veel bloed,-0.6,0.8,1.0
bloedheet,r_a-9486,snikheet,-0.2,0.9,0.7
bloedig,r_a-9343,waarbij bloed vloeit,-0.5,0.8,0.7
bloedmooi,r_a-9568,beeldschoon,1.0,1.0,0.9
bloedserieus,d_a-32945,,0.0,0.6,1.0
bloedstollend,r_a-9488,spannend,0.8,1.0,1.0
bloemrijk,r_a-9652,beeldrijk,0.2,0.5,0.7
